Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,81.000000,81.500000,80.529999,81.099998,77.033379,1015191
2018-09-11,81.379997,81.379997,80.180000,80.760002,76.710434,1081649
2018-09-12,80.900002,81.449997,80.370003,81.320000,77.242348,1346307
2018-09-13,81.349998,83.349998,81.349998,82.470001,78.334686,1880341
2018-09-14,83.000000,83.250000,82.419998,82.930000,78.771622,1395628
2018-09-17,82.290001,83.050003,81.519997,82.540001,78.401176,1555965
2018-09-18,82.870003,83.809998,82.260002,82.669998,78.524658,1957614
2018-09-19,82.669998,83.820000,82.559998,83.540001,79.351036,1555040
2018-09-20,83.169998,85.480003,83.169998,85.320000,81.041779,2570524
2018-09-21,86.129997,86.739998,85.260002,85.769997,81.469208,4350959
2018-09-24,85.339996,85.400002,83.400002,83.500000,79.313042,2303604
2018-09-25,83.400002,83.730003,78.510002,79.000000,75.038681,6446086
2018-09-26,78.220001,79.029999,76.669998,79.029999,75.067177,3453388
2018-09-27,78.400002,79.160004,77.989998,79.000000,75.038681,2021708
2018-09-28,78.419998,78.510002,77.320000,77.709999,73.813370,2785236
2018-10-01,77.940002,78.699997,77.400002,78.139999,74.221809,1561578
2018-10-02,77.949997,79.440002,77.650002,78.699997,74.753723,1894977
2018-10-04,78.239998,78.989998,77.639999,78.260002,74.335793,1908798
2018-10-05,78.000000,78.139999,77.239998,77.680000,73.784874,1568319
2018-10-08,77.300003,77.559998,76.720001,76.870003,73.015495,1257138
2018-10-09,76.790001,76.809998,75.660004,76.389999,72.559555,1639757
2018-10-10,76.580002,76.589996,75.120003,75.349998,71.571709,2244337
2018-10-11,74.029999,75.209999,73.449997,74.300003,70.574364,3193410
2018-10-12,75.000000,75.519997,74.300003,74.489998,70.754829,1759983
2018-10-15,74.849998,75.860001,73.800003,75.209999,71.438728,1571837
2018-10-16,75.290001,75.980003,74.669998,75.750000,71.951653,1699003
2018-10-17,76.080002,76.360001,74.650002,75.239998,71.467224,1385461
2018-10-18,75.400002,76.400002,75.059998,75.129997,71.362732,1212501
2018-10-19,74.879997,75.199997,73.080002,74.639999,70.897308,3589651
2018-10-22,75.269997,76.019997,74.070000,74.440002,70.707336,1566574
2018-10-23,73.610001,74.529999,72.849998,73.500000,69.814468,2575794
2018-10-24,73.760002,74.089996,72.410004,72.690002,69.045090,2310612
2018-10-25,72.150002,74.970001,71.790001,74.500000,70.764328,2813362
2018-10-26,73.800003,75.019997,73.449997,75.019997,71.258247,2465917
2018-10-29,75.480003,79.379997,75.330002,76.400002,72.569061,3653380
2018-10-30,77.000000,77.260002,75.660004,76.339996,72.512062,1932217
2018-10-31,77.260002,77.599998,76.209999,76.230003,72.407585,2200260
2018-11-01,76.519997,77.660004,76.000000,76.790001,72.939499,1659432
2018-11-02,78.050003,79.120003,77.669998,77.739998,73.841866,2425412
2018-11-05,77.599998,78.120003,77.230003,77.230003,73.357437,1325843
2018-11-06,77.230003,77.400002,76.419998,76.919998,73.062981,1357676
2018-11-07,74.610001,76.150002,73.599998,74.260002,70.536362,3911224
2018-11-08,74.309998,74.599998,72.870003,73.860001,70.156418,2407914
2018-11-09,73.330002,74.050003,72.320000,73.360001,69.681496,2200595
2018-11-12,73.809998,73.959999,72.269997,72.529999,68.893112,1566238
2018-11-13,72.320000,74.059998,72.199997,73.900002,70.194412,2107935
2018-11-14,74.580002,76.370003,74.199997,74.660004,70.916306,2677272
2018-11-15,74.059998,74.389999,73.000000,74.199997,70.479370,2644968
2018-11-16,74.559998,75.120003,73.070000,73.739998,70.042435,1941853
2018-11-19,74.019997,74.830002,73.980003,74.180000,70.460373,1711054
2018-11-20,74.070000,74.300003,73.080002,73.690002,69.994949,1624218
2018-11-21,74.050003,74.620003,73.410004,74.320000,70.593353,2035275
2018-11-22,74.089996,74.139999,73.120003,73.620003,69.928459,1040962
2018-11-23,73.489998,74.000000,73.070000,73.489998,69.804970,952777
2018-11-26,73.830002,75.519997,73.750000,74.870003,71.115776,1548836
2018-11-27,75.180000,75.239998,73.209999,73.870003,70.165924,1941777
2018-11-28,74.199997,74.540001,73.309998,73.739998,70.042435,1380720
2018-11-29,73.940002,74.129997,72.320000,72.849998,69.197060,1974610
2018-11-30,72.839996,73.080002,71.360001,72.209999,68.589157,2245761
2018-12-03,76.699997,77.559998,75.010002,75.660004,71.866165,4691686
2018-12-04,75.010002,75.489998,73.650002,74.430000,70.697838,2090935
2018-12-05,73.839996,75.089996,73.519997,74.160004,70.441383,1451914
2018-12-06,73.400002,73.839996,71.620003,72.070000,68.456177,2981527
2018-12-07,72.070000,72.650002,71.139999,71.709999,68.114227,1885183
2018-12-10,71.000000,71.290001,69.639999,70.099998,66.584961,2409172
2018-12-11,70.099998,72.800003,70.059998,71.379997,67.800774,2764437
2018-12-12,71.959999,73.209999,71.440002,72.769997,69.121071,2218925
2018-12-13,73.239998,74.830002,73.230003,74.180000,70.460373,2262635
2018-12-14,73.000000,74.750000,72.370003,74.269997,70.545860,2051889
2018-12-17,74.300003,74.949997,73.239998,74.000000,70.289398,1394876
2018-12-18,73.599998,75.070000,73.139999,73.470001,69.785980,1950796
2018-12-19,73.739998,74.300003,73.410004,73.449997,69.766975,1582367
2018-12-20,72.739998,72.900002,71.650002,71.839996,68.237709,2950979
2018-12-21,71.419998,72.040001,70.230003,71.930000,68.323196,4978117
2018-12-27,71.779999,72.160004,69.120003,69.860001,66.356995,1828170
2018-12-28,70.349998,70.760002,70.209999,70.699997,67.154869,1031948
2019-01-02,70.629997,70.660004,68.790001,69.739998,66.243011,1429230
2019-01-03,69.220001,69.809998,69.019997,69.050003,65.587608,1426463
2019-01-04,69.800003,71.769997,69.639999,71.709999,68.114227,1857639
2019-01-07,71.750000,72.320000,71.269997,72.120003,68.503670,1238553
2019-01-08,71.849998,73.680000,71.279999,72.209999,68.589157,1865750
2019-01-09,73.080002,73.779999,72.320000,72.949997,69.292046,1921526
2019-01-10,72.400002,72.889999,71.870003,72.529999,68.893112,1569810
2019-01-11,72.400002,72.839996,70.629997,71.830002,68.228210,2009338
2019-01-14,71.029999,72.300003,71.029999,71.589996,68.000244,1360714
2019-01-15,72.099998,73.230003,71.129997,71.620003,68.028740,1446376
2019-01-16,71.650002,71.809998,71.050003,71.529999,67.943253,1296314
2019-01-17,70.889999,71.430000,70.190002,71.260002,67.686798,1319472
